Sw_m2,span_m,MAC_m,Sh_m2,Sv_m2,MTOW_t,Wempty_t,Wfuel_t,Wcruise_t,MLW_t,MLW_frac,CLmaxTO,CLmaxLD,CL_cruise,CD_cruise,CD0_cruise,CDwave_cruise,K_cruise,LD_cruise,deltaS_landing_m2,Sw_landing_required_m2,critical,T0_envelope_kN,T0_design_5pct_kN,Takeoff,Cruise,High speed cruise,FAR 25.111,FAR 25.121a,FAR 25.121b,FAR 25.121c,FAR 25.119,FAR 25.121d
300.0,56.65686189686118,6.345533467097898,52.94117647058824,37.5,280.1553954993199,135.52082783506393,109.93456766425602,267.7424078759048,207.31499266949675,0.74,2.110877245340755,2.401877074358525,0.7967632129454039,0.041574257065773654,0.016091809851530917,0.0057299412812706115,0.031114559181318967,19.164821434688864,-18.315874628708855,318.31587462870885,Takeoff,981.7619094278168,1030.8500048992078,981.7619094278168,818.4883653445006,821.6397306571266,380.22764867750584,392.517069513549,515.2281448412401,372.5926808496669,288.15060858508474,400.85829292928105
301.0,56.751211440814195,6.356100557627006,53.11764705882353,37.62500000000001,279.85272609747443,135.5304744422115,109.62225165526296,267.4532312892753,207.0910173121311,0.74,2.1112431268268623,2.4023649163400007,0.7932584697747792,0.04127819403747303,0.016065144267114546,0.0056354770828991865,0.03111210597150264,19.217373440675384,-16.907408332976104,317.9074083329761,Takeoff,976.2179046816757,1025.0287999157597,976.2179046816757,815.3685243334193,818.6461589052526,379.50053494131447,391.7768821209732,514.4869105154501,371.8238820364665,287.7885288995794,400.22976599373806
302.0,56.845404387689946,6.36665010938038,53.294117647058826,37.75,279.56213628565047,135.54311787742057,109.31901840822995,267.17538495510917,206.87598085138137,0.74,2.1116072519847604,2.402850416550532,0.7898104307461064,0.0409885655740477,0.01603865190342841,0.005543685835836516,0.031109669391088488,19.269042955876998,-15.513136737743821,317.5131367377438,Takeoff,970.7983792939231,1019.3382982586193,970.7983792939231,812.3373495602797,815.7378637917662,378.7919385533706,391.05564207861096,513.769471418194,371.07406003897336,287.43927695637706,399.62015905676844
303.0,56.939441514647825,6.377182209399389,53.470588235294116,37.875,279.28459082338816,135.55914381666327,109.02544700672486,266.91021870078407,206.67059720930726,0.74,2.1119696349059227,2.403333593778748,0.7864225115547386,0.04070552359731221,0.01601233105199879,0.0054545917544157945,0.031107249271560812,19.319798446387416,-14.13414311564702,317.134143115647,Takeoff,965.5084534533441,1013.7838761260115,965.5084534533441,809.3991286751195,812.9191013561428,378.10309944637356,390.3546344731416,513.0775527267629,370.3444038342425,287.1038312718849,399.0308019025804
304.0,57.03332359244023,6.387696944007827,53.64705882352941,38.0,279.01801112841224,135.57787748898,108.7401336394323,266.6552988060634,206.4733282350251,0.74,2.1123302895235065,2.4038144666021934,0.7830869718033415,0.04042838378910234,0.015986180026816038,0.005367928524062115,0.031104845446673128,19.369732312040295,-12.768054900689265,316.76805490068926,Takeoff,960.3322123484332,1008.3488229658549,960.3322123484332,806.5415063178992,810.1778818433841,377.4311602357963,389.67090971337296,512.4073116065646,369.63211505523856,286.78005057918017,398.45869851344406
305.0,57.12705138548637,6.398194398820169,53.8235294117647,38.125,278.7635302094478,135.599760837911,108.46376937153681,266.41217622422283,206.28501235499138,0.74,2.1126892296146407,2.404293053390372,0.7798078360374641,0.04015735132198639,0.01596019716396624,0.0052837414765147615,0.031102457752410145,19.418806528968325,-11.416146923580925,316.4161469235809,Takeoff,955.2760360157016,1003.0398378164867,955.2760360157016,803.7697511042041,807.5194123563318,376.77758975433886,389.0059892810634,511.76078279531424,368.9386062951743,286.4690863134217,397.9054196131499
306.0,57.22062565194477,6.408674658749707,54.0,38.25,278.5198512548232,135.62438476885112,108.19546648597213,266.17936853769,206.1046899285692,0.74,2.1130464688026644,2.4047693723077375,0.7765802263129038,0.039891970842715736,0.01593438082127006,0.00520184817088735,0.031100086026950396,19.467080966612787,-10.076935646362244,316.07693564636224,Takeoff,950.3296168875542,997.846097731932,950.3296168875542,801.0759214011615,804.9360008314983,376.140589294988,388.3580174611749,511.1355576777471,368.26211092798843,286.1695996454722,397.36908449091703
307.0,57.31404714378491,6.4191378080165515,54.17647058823529,38.375,278.2857830531131,135.65137064255066,107.93441241056239,265.9555059922657,205.93147945930366,0.74,2.1134020205593385,2.4052434413166366,0.773399655867266,0.03963182750174562,0.015908729377928733,0.005122083290063574,0.03109773011062973,19.514609964256657,-8.749058634173764,315.74905863417376,Takeoff,945.4835460460745,992.7577233483782,945.4835460460745,798.4527720646283,802.4206275546212,375.5185080014765,387.72529113673954,510.5294242406314,367.60100730423846,285.8803609072536,396.8479661218638
308.0,57.4073166068577,6.429583930155543,54.35294117647058,38.49999999999999,278.0625300459451,135.68118362374213,107.68134642220296,265.74222194632875,205.7662722339994,0.74,2.1137558982070073,2.4057152781801947,0.7702704009168662,0.039377152889347074,0.015883241234176816,0.005044504080178043,0.03109538984590546,19.561353333019966,-7.433872254899882,315.4338722548999,Takeoff,940.7447872225632,987.7820265836914,940.7447872225632,795.9060151409187,799.9789257261642,374.912912867687,387.10943303684564,509.94454955097217,366.95680450604493,285.60259517024036,396.3437384326723
309.0,57.500434780964916,6.440013108024024,54.52941176470589,38.625,277.84887784725163,135.71343316450162,107.43544468275003,265.5381059607146,205.60816960696621,0.74,2.1141081149207293,2.4061849004651568,0.7671878882377141,0.039127534344496936,0.015857914810941846,0.004968948614111142,0.031093065077321232,19.607366042619415,-6.129988535517839,315.12998853551784,Takeoff,936.1038923146423,982.9090869303745,936.1038923146423,793.4283593371028,797.6038241214151,374.32212554148464,386.5087114319645,509.37868161101414,366.327855097007,285.33504964290194,395.8546439798295
