altitude_ft,altitude_m,Wfuel_t,MTOW_t,Wcruise_t,T0_design_5pct_kN,T0_envelope_kN,T0_installed_kN,critical,Cruise_kN,Takeoff_kN,High_speed_cruise_kN,CL_cruise,CD_cruise,LD_cruise,Mf_cruise,TSFC_1_per_hr,kT_cruise,rho_kg_m3,feasible_installed_thrust
30000.0,9144.0,105.48977809890755,290.19657173771026,277.33887376169815,766.5634311670207,730.0604106352578,863.0,High speed cruise,565.3961187736812,699.3203267825597,730.0604106352578,0.3922335189683756,0.018382452451663308,21.337387924693637,0.6944252498325524,0.4872647869579755,0.22552032,0.45904053188684185,True
30050.0,9159.24,105.42652182466107,290.1080543992468,277.2542734026448,766.3348815882464,729.8427443697585,863.0,High speed cruise,565.9672401426008,698.8937708597864,729.8427443697585,0.3930047897646389,0.018408905250573867,21.34862363705129,0.6945411013020915,0.4871931561053783,0.2251054872,0.45819772306768725,True
30100.0,9174.48,105.3636701994375,290.02010188617766,277.170212776161,766.1078842786081,729.6265564558172,863.0,High speed cruise,566.5433488383209,698.4700656596949,729.6265564558172,0.39377868907636493,0.018435494898451626,21.359811127687053,0.6946562701673739,0.48712150518896175,0.22469065440000002,0.4573561026076239,True
30150.0,9189.720000000001,105.30122487650077,289.9327165373519,277.0866941162349,765.8824434378156,729.4118508931577,863.0,High speed cruise,567.1244825517699,698.0492199692551,729.4118508931577,0.3945552306411826,0.018462222431349023,21.370949900983977,0.6947707520890078,0.48704983419438186,0.22427582160000004,0.45651566933604243,True
30200.0,9204.960000000001,105.23918752687347,289.8459007164546,277.003719680563,765.6585633321206,729.1986317448766,863.0,High speed cruise,567.710679372889,697.6312426973999,729.1986317448766,0.3953344283053944,0.01848908889571598,21.382039457714733,0.6948845426936142,0.4869781431072781,0.22386098879999994,0.4556764220829913,True
30250.0,9220.2,105.17755983956901,289.759656812332,276.9212917508593,765.4362482951684,728.9869031382556,863.0,High speed cruise,568.3019777959216,697.2161428766303,728.9869031382556,0.39611629602520715,0.018516095348533615,21.393079295013333,0.6949976375734332,0.4869064319132736,0.22344615599999995,0.4548383596791796,True
30300.0,9235.44,105.11634352182728,289.6739872393197,276.8394126331694,765.2155027288738,728.7766692655941,863.0,High speed cruise,568.8984167247872,696.8039296646407,728.7766692655941,0.39690084786799346,0.0185432428574504,21.404068906346904,0.6951100322859279,0.48683470059797496,0.22303132320000008,0.454001480955974,True
30350.0,9250.68,105.05554029935368,289.5888944375759,276.7580846581873,764.9963311042992,728.5679343850468,863.0,High speed cruise,569.5000354785418,696.3946123459698,728.5679343850468,0.3976880980135577,0.01857053250092015,21.415007781486754,0.6952217223533785,0.48676294914697243,0.22261649039999998,0.45316578474540037,True
30400.0,9265.92,104.99515191656326,289.50438087342275,276.67731018158133,764.7787379625612,728.3607028214868,863.0,High speed cruise,570.1068737969282,695.9882003336884,728.3607028214868,0.39847806075543357,0.01859796536834253,21.42589540647942,0.6953327032624729,0.48669117754583946,0.2222016576,0.45233126988014416,True
30450.0,9281.16,104.93518013682807,289.4204490396905,276.59709158432224,764.5627279157427,728.154978967374,863.0,High speed cruise,570.718971846015,695.5847031711093,728.154978967374,0.39927075050219546,0.018625542560205724,21.436731263617236,0.6954429704638889,0.48661938578013325,0.2217868248,0.4514979351935486,True
